model,provider,variant,intervention,outcome,ate,rationale,log
luna,openai,forecaster-pre-can,Consensus,trust_multidimensional,0.65,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,trust_post,0.8,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,distrust_post,-0.55,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,funding_perceptions,0.3,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,policy_role_mean,0.2,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,inst_trust_mean,0.15,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,belief_post,0.7,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,concern_mean,0.3,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,policy_general,0.25,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,policy_specific_mean,0.15,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,behavior_mean,0.08,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,donation_ams,0.03,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Consensus,newsletter_signup,0.002,"The consensus-plus-feedback format should produce a small positive effect on proximal trust and perceived belief accuracy, but ceiling effects among Democrats and possible reactance among some Republicans will limit the sample-average effect. Distal policy and concern outcomes should move less, with institutional trust and policy-role views showing little spillover. Real behaviors are expected to be essentially unchanged, with only a very small increase in donation and newsletter signup.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,trust_multidimensional,0.8,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,trust_post,0.9,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,distrust_post,-0.7,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,funding_perceptions,0.4,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
luna,openai,forecaster-pre-can,Extreme weather predictions,policy_role_mean,0.2,"The localized, practical extreme-weather framing should produce a small positive effect on proximal trust, with a corresponding decrease in distrust, but ceiling effects among Democrats and mixed partisan reception limit the sample-average shift. Distal beliefs, policy attitudes, and intentions should move less, while the real behavioral outcomes should be close to zero.",20260817-204211-7da464
